"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 14 13:38:23 GMT 2023","Tue Mar 14 13:38:24 GMT 2023","903","tests.scripts","test_hint","TestHint","","","test_hint_for_word_file[https://demoqa.com/checkbox]",""
"passed","Tue Mar 14 13:38:20 GMT 2023","Tue Mar 14 13:38:22 GMT 2023","2176","tests.scripts","test_expand_checkbox","TestExpandCheckbox","","","test_checkbox_home[https://demoqa.com/checkbox]",""
"passed","Tue Mar 14 13:38:24 GMT 2023","Tue Mar 14 13:38:33 GMT 2023","9339","tests.scripts","test_open_pages","TestOpenPages","","","test_open_elements[https://demoqa.com/]",""
"passed","Tue Mar 14 13:38:42 GMT 2023","Tue Mar 14 13:38:43 GMT 2023","469","tests.scripts","test_open_site","TestOpenSite","","","test_open_site[https://demoqa.com/-DEMOQA]",""
"passed","Tue Mar 14 13:38:22 GMT 2023","Tue Mar 14 13:38:23 GMT 2023","992","tests.scripts","test_expand_checkbox","TestExpandCheckbox","","","test_checkbox_download[https://demoqa.com/checkbox]",""
"passed","Tue Mar 14 13:38:33 GMT 2023","Tue Mar 14 13:38:42 GMT 2023","8969","tests.scripts","test_open_pages","TestOpenPages","","","test_open_checkbox[https://demoqa.com/]",""
